"Part";"Value";"Device";"Package";"Description";"PARTNO";
"C5";"10uF";"C-0805";"C0805";"Ceramic Capacitors";"";
"C6";"10uF";"C-0805";"C0805";"Ceramic Capacitors";"";
"C7";"DNP";"CAP-AVX-A";"AVX-A";"Electrolytic Capacitors,Tantalum Capacitors and Super Capacitors";"";
"J1";"SMD Grove";"TWIG-4P-2.0-SMD-FEMALE-REINFORCE'DD'";"4P-SMD-2.0";"";"";
"P1";"";"PAD-MARK'ANNULAR'";"ROUND-MARK-1.0";"";"DNP";
"P2";"DNP";"PAD'60/30'";"1P-65/35MIL";"";"";
"P3";"DNP";"PAD'60/30'";"1P-65/35MIL";"";"";
"P4";"";"PAD-MARK'ANNULAR'";"ROUND-MARK-1.0";"";"DNP";
"P5";"";"PAD-MARK'ANNULAR'";"ROUND-MARK-1.0";"";"DNP";
"P6";"";"PAD-MARK'ANNULAR'";"ROUND-MARK-1.0";"";"DNP";
"Q1";"2N7002";"MOSFET-N'SOT23'";"SOT23";"IRLL014:";"";
"Q2";"2N7002";"MOSFET-N'SOT23'";"SOT23";"IRLL014:";"";
"R2";"4.7K";"R-0603";"R0603";"";"";
"R3";"4.7K";"R-0603";"R0603";"";"";
"R4";"4.7K";"R-0603";"R0603";"";"";
"R5";"4.7K";"R-0603";"R0603";"";"";
"TP1";"";"PAD-TEST-POINT'4545'";"TP_4545";"";"DNP";
"TP2";"";"PAD-TEST-POINT'4545'";"TP_4545";"";"DNP";
"TP3";"";"PAD-TEST-POINT'4545'";"TP_4545";"";"DNP";
"TP4";"";"PAD-TEST-POINT'4545'";"TP_4545";"";"DNP";
"U1";"ADXL345";"ADXL345";"LGA14";"3-Axis,+/-2g / +/-4g / +/-8g / +/-16g Digital Accelerometer";"";
"U5";"XC6206P252MR-G";"XC6206MR";"SOT23";"LOW ESR Cap.Compatible Positive Voltage Regulators";"";
